tas_nit_id,n_points,avg_distance_to_stop,min_distance_to_stop,max_distance_to_stop,nearest_stop_name,street_name,highway_type,center_lat,center_lon,walking_class,poi_count_pendidikan,dist_nearest_pendidikan,poi_count_kesehatan,dist_nearest_kesehatan,poi_count_komersial,dist_nearest_komersial,poi_count_katering,dist_nearest_katering,poi_count_finansial,dist_nearest_finansial,poi_count_olahraga,dist_nearest_olahraga,transit_accessibility,norm_pendidikan,norm_kesehatan,norm_komersial,norm_katering,norm_finansial,norm_olahraga,service_accessibility,accessibility_score
1014722265_1831360476_STOP30,1,132.6,132.6,132.6,Terminal Abdul Muis/Kebon Kalapa,Jalan Pungkur,secondary,-6.927488900000006,107.6070558,Sangat Dekat (<200m),5,186.6,2,116.8,7,15.6,4,22.9,2,168.4,0,1168.1,0.83425,1.0,0.6666666666666666,0.28,0.0851063829787234,0.14285714285714285,0.0,0.3624383654170888,0.5983
1014722265_1831360476_STOP470,9,117.44444444444444,12.7,242.8,Pasundan,Jalan Pungkur,secondary,-6.928249694818391,107.60906023731953,Sangat Dekat (<200m),3,160.8,2,99.7,6,107.2,2,259.0,0,401.5,0,1236.4,0.8531944444444445,1.0,0.6666666666666666,0.24,0.0425531914893617,0.0,0.0,0.32486997635933806,0.589
1014722585_1014722265_STOP30,2,136.7,130.4,143.0,Terminal Abdul Muis/Kebon Kalapa,Jalan Mohammad Toha,secondary,-6.928028025202861,107.60701025975342,Sangat Dekat (<200m),4,220.0,2,144.4,7,48.6,3,78.0,2,175.5,0,1228.3,0.829125,1.0,0.6666666666666666,0.28,0.06382978723404255,0.14285714285714285,0.0,0.3588922661263087,0.594
1014722585_1014722265_STOP369,8,101.5875,13.0,192.7,SDN Moh. Toha,Jalan Mohammad Toha,secondary,-6.930278050351049,107.6068074176192,Sangat Dekat (<200m),0,428.9,2,169.3,4,196.2,4,328.1,3,345.0,0,1479.8,0.873015625,0.0,0.6666666666666666,0.16,0.0851063829787234,0.21428571428571427,0.0,0.18767646065518406,0.5303
1014722585_29489136_STOP269,1,206.3,206.3,206.3,Jalan Ibu Inggit Garnasih,Jalan Ibu Inggit Ganarsih,secondary,-6.931731048821786,107.60575680815448,Dekat (200-400m),0,445.5,2,144.2,1,171.5,3,184.5,2,266.3,0,1653.4,0.7421249999999999,0.0,0.6666666666666666,0.04,0.06382978723404255,0.14285714285714285,0.0,0.152225599459642,0.4472
1014722585_29489136_STOP369,2,193.75,192.7,194.8,SDN Moh. Toha,Jalan Ibu Inggit Ganarsih,secondary,-6.931821216422969,107.60642901572923,Sangat Dekat (<200m),1,393.5,2,69.4,1,96.0,2,259.8,2,339.9,0,1654.6,0.7578125,0.3333333333333333,0.6666666666666666,0.04,0.0425531914893617,0.14285714285714285,0.0,0.20423505572441744,0.481
1014722585_29489138_STOP29,4,348.82500000000005,297.8,403.1,SDN 020 Lengkong Besar,Jalan Ibu Inggit Ganarsih,secondary,-6.932358081389717,107.61046276512904,Dekat (200-400m),1,364.6,1,385.2,3,18.5,4,258.7,1,352.4,0,1701.5,0.5639687499999999,0.3333333333333333,0.3333333333333333,0.12,0.0851063829787234,0.07142857142857142,0.0,0.15720027017899357,0.3606
1014722585_29489138_STOP369,4,218.975,192.7,254.8,SDN Moh. Toha,Jalan Ibu Inggit Ganarsih,secondary,-6.931943856128842,107.60732496407417,Dekat (200-400m),1,338.1,1,35.5,2,6.5,1,360.3,0,439.1,0,1658.3,0.72628125,0.3333333333333333,0.3333333333333333,0.08,0.02127659574468085,0.0,0.0,0.1279905437352246,0.4271
1014722585_29489138_STOP842,3,327.6666666666667,289.9,366.5,Ciateul,Jalan Ibu Inggit Ganarsih,secondary,-6.932153898879256,107.60889349706572,Dekat (200-400m),1,304.0,1,209.3,3,181.0,0,417.2,0,500.3,0,1671.1,0.5904166666666666,0.3333333333333333,0.3333333333333333,0.12,0.0,0.0,0.0,0.1311111111111111,0.3608
1014722585_5355897677_STOP257,3,74.36666666666666,24.8,124.2,Taman Tegalega 3,Jalan Mohammad Toha,secondary,-6.935907000595297,107.6063490032108,Sangat Dekat (<200m),2,248.8,2,161.3,0,449.5,0,421.9,4,242.9,0,1951.9,0.9070416666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.2857142857142857,0.0,0.2698412698412698,0.5884
1014722585_5355897677_STOP258,1,7.2,7.2,7.2,Pasar Tegalega,Jalan Mohammad Toha,secondary,-6.936807681919519,107.60627573729413,Sangat Dekat (<200m),2,300.7,2,74.5,0,549.2,0,417.2,4,202.9,0,1851.4,0.991,0.6666666666666666,0.6666666666666666,0.0,0.0,0.2857142857142857,0.0,0.2698412698412698,0.6304
1014722585_5355897677_STOP369,1,192.7,192.7,192.7,SDN Moh. Toha,Jalan Mohammad Toha,secondary,-6.931851899999999,107.606653,Sangat Dekat (<200m),1,377.9,2,45.1,1,70.9,2,284.9,2,364.6,0,1655.8,0.759125,0.3333333333333333,0.6666666666666666,0.04,0.0425531914893617,0.14285714285714285,0.0,0.20423505572441744,0.4817
1014722585_5355897677_STOP842,7,88.71428571428571,13.7,160.8,Ciateul,Jalan Mohammad Toha,secondary,-6.9336540403907305,107.60651631044038,Sangat Dekat (<200m),1,237.4,1,217.0,1,205.0,1,349.8,0,439.3,0,1857.0,0.8891071428571429,0.3333333333333333,0.3333333333333333,0.04,0.02127659574468085,0.0,0.0,0.12132387706855792,0.5052
