name,lat,lon
YPKP Sanggabuana,-6.8994024,107.6407505
Seberang Borma Pasirimpun,-6.9048163,107.6758571
Pusjatan,-6.907616,107.6867053
UPTD Laboratorium Lingkungan Hidup,-6.9073352,107.6864987
Seberang SMAN 24 Bandung,-6.9084569,107.6881483
Seberang Jalan Pasar Induk,-6.9308254,107.6934648
Universitas Bhakti Kencana,-6.9355706,107.7099587
SDN 050 Cibiru,-6.9342099,107.7214988
SDN Cipadung,-6.9316136,107.7137994
Seberang Borma Cipadung,-6.926185,107.7108807
SDN Ciporeat,-6.9174054,107.7062374
Yayasan Kemala Bhayangkari,-6.9318511,107.6221315
GOR Lodaya,-6.9316564,107.620362
RS Imanuel Pintu Kopo,-6.9353514,107.5957948
Samsudin,-6.9374989,107.6083033
SD Al-Azhar 36 Bandung,-6.9277142,107.6233702
Taman Pers Malabar 2,-6.9256325,107.6238594
Aneka Jeans,-6.9242838,107.6268278
Sumber Rasa,-6.9244476,107.6269483
Simpang Astanaanyar Pasirkoja,-6.92649,107.5996134
Cibadak Astanaanyar,-6.9209381,107.5983281
Pasar Cimol Gedebage,-6.9325009,107.6970634
Unibi,-6.9424944,107.650502
Cidurian Utara,-6.9417291,107.6528521
Cidurian 1,-6.9420488,107.652937
Suparma,-6.939521,107.6601431
Jalan H. Basuki,-6.9443078,107.641823
Borma Kiaracondong,-6.9427684,107.6419391
Seberang Jalan Sekejati,-6.9399639,107.6421397
KPP Madya Dua Bandung,-6.9383596,107.6422267
SDN 38 Kiaracondong,-6.9334238,107.6429612
Jalan PSM,-6.9274181,107.6444787
SDN 083 Babakan Surabaya Selatan,-6.9196249,107.6443409
Gerbang Timur Kiara Artha Park,-6.9161771,107.6437843
Sanggar Hurip,-6.9386898,107.6672688
Guruminda,-6.9379563,107.677595
KPP Pratama Cicadas,-6.937792,107.679421
Metro Indah Mall,-6.9404384,107.6580287
Gagak Rimang,-6.9401293,107.6590763
DPPKB Kota Bandung,-6.9342059,107.6267786
Disnaker Jabar,-6.9441132,107.6464815
Sekelimus 1,-6.9463564,107.6384357
Sekelimus Tengah,-6.9466899,107.6381374
Simpang Buah Batu Soekarno Hatta 1,-6.9474617,107.6348776
Mengger Girang,-6.9487604,107.6136896
Karasak Utara,-6.9480356,107.6067108
Ampera Soekarno Hatta,-6.9481562,107.6050951
Seberang Ampera Soekarno Hatta,-6.9479462,107.6051473
Inhoftank,-6.9477541,107.602818
Seberang Selontongan,-6.9400956,107.6256333
Selontongan,-6.9402261,107.6259615
ISBI Bandung,-6.9426293,107.6280141
Seberang Jalan Guntursari Wetan,-6.9469011,107.6321384
Pasundan,-6.9277857,107.6089283
SMP Negeri 43 Bandung,-6.9257638,107.606724
Seberang Unpas Setiabudi,-6.8664267,107.5940026
Gegerkalong Girang,-6.8653047,107.5939775
BPK Penabur,-6.9033999,107.5974143
Seberang BPK Penabur,-6.9033854,107.5975935
Polsek Sukajadi,-6.887918,107.5967048
Mandiri Sukajadi,-6.8834895,107.5964387
Borma Setiabudhi,-6.8746215,107.5962774
SMPN 15 Bandung,-6.8740452,107.5956946
RS Advent,-6.8916704,107.6038557
Jalan Haji Safari,-6.9248345,107.5990538
Masjid Besar Cipaganti,-6.8948163,107.6025935
Abdul Rivai,-6.904457,107.6038096
Masjid Al-Ukhuwwah,-6.9111659,107.6090127
Wastukencana Purnawarman,-6.9089046,107.6079144
Seberang Gateway Pasteur,-6.889237,107.5669131
Mentor,-6.8897535,107.5698857
Borma Dakota,-6.8909024,107.5721443
SDN Sukaraja,-6.891568,107.5786354
Djundjunan 3,-6.8929271,107.585783
Seberang Gang Pelita,-6.9157893,107.5711605
Sunson Cijerah,-6.9178505,107.570801
Seberang SDN 093 Tunas Harapan Cijerah,-6.921419,107.5695538
SDN 061 Cijerah,-6.921786,107.569027
Masjid Jami Al Istiqomah,-6.9225319,107.5684056
Simpang Bojong Raya,-6.9267717,107.5661299
Holis Regency,-6.9376108,107.5700989
Griya Holis,-6.9417866,107.5675292
TVRI Bandung,-6.9590518,107.5936258
Barat Simpang Imanuel,-6.9367279,107.5942651
Sekolah BPI,-6.9236547,107.6199108
Dinas Perhubungan Provinsi Jawa Barat,-6.9181684,107.6325056
RSIA Grha Bunda,-6.9133463,107.6455435
Stikes Dharma Husada,-6.9126697,107.6507388
bjb Antapani,-6.9123298,107.6537762
Kantor Kecamatan Sumurbandung,-6.9131504,107.6177296
Graha Manggala Siliwangi,-6.9090628,107.6195685
Pengadilan Negeri Bandung,-6.9063523,107.6220118
Seberang Pengadilan Negeri Bandung,-6.9062679,107.6220251
bjb Riau,-6.9093413,107.6252161
Taman Pramuka,-6.9105382,107.6266034
SMPN 22 Bandung,-6.9121909,107.6337376
Supratman Cikaso,-6.9102843,107.6324629
Ganesha Ciungwanara,-6.8935654,107.6121291
Masjid Salman ITB,-6.8934006,107.6113069
ITB Ganesha A,-6.8934125,107.6095893
ITB Ganesha B,-6.8933053,107.6094548
GKBI Andir,-6.911862,107.5780454
Sumur Bandung,-6.8857042,107.6127635
Mustika Hegar,-6.9554366,107.6521438
SDN 069 Cipamokolan Derwati,-6.9648659,107.6832089
Seberang Jalan Warta,-6.9259247,107.6326457
Jalan Gagak,-6.899143,107.6234856
Taman Pusdai,-6.8993329,107.6261334
Seberang Imigrasi Bandung,-6.8987917,107.6312146
Simpang Jalaprang,-6.8985429,107.6318144
SDN 151 Sukasenang,-6.8982702,107.6360403
Bekamin,-6.899604,107.6416785
Sukapada 2,-6.9002214,107.6446584
Silver Kris,-6.9091197,107.6843493
Yuntex Raya,-6.9099811,107.6841066
KUA Arcamanik,-6.9238911,107.6836153
SMK YPF,-6.9206572,107.684211
K.H. Djunaedi,-6.922572,107.6839756
Depan Pasar Gedebage,-6.9365236,107.6972979
Simpang Dipatiukur Hasanudin,-6.8950588,107.6171525
Magister Manajemen UNPAD,-6.8950518,107.6172906
Terminal Ledeng,-6.8593363,107.5952357
Terminal Ledeng Sersan Bajuri,-6.8582467,107.5945252
Terminal Margahayu Raya,-6.9465146,107.6626665
Seberang Poltekesos,-6.8725613,107.6199112
Pahlawan Sidomukti,-6.8933267,107.6354644
Rumah Sakit Murni Teguh Naripan,-6.9207627,107.6160069
Melong Karapitan,-6.9301952,107.6159803
Karapitan Cikawao,-6.9282793,107.6165089
Karapitan Paledang,-6.9250827,107.6172397
