lat,lon,category
-6.8811456,107.5869526,Komersial
-6.8810656,107.5863443,Komersial
-6.8989743,107.620941,Komersial
-6.9198193,107.6034551,Komersial
-6.8829227,107.5995559,Komersial
-6.9170486,107.6084817,Komersial
-6.911656,107.5997882,Komersial
-6.9062897,107.6148131,Komersial
-6.9064549,107.6164208,Komersial
-6.9067259,107.6151135,Komersial
-6.8945181,107.6041356,Komersial
-6.9044113,107.6110125,Komersial
-6.8620585,107.5963497,Komersial
-6.8755371,107.5969796,Komersial
-6.9046357,107.6109598,Komersial
-6.8977603,107.6150671,Komersial
-6.9166942,107.6138156,Komersial
-6.8796669,107.5965048,Komersial
-6.8791802,107.5974537,Komersial
-6.9262571,107.6194804,Komersial
-6.9272851,107.62267,Komersial
-6.9123323,107.6002998,Komersial
-6.9122914,107.599997,Komersial
-6.9105531,107.6041785,Komersial
-6.9039258,107.6139279,Komersial
-6.9225073,107.6175479,Komersial
-6.9153446,107.6531264,Komersial
-6.9264219,107.6196252,Komersial
-6.8989337,107.6113451,Komersial
-6.8824811,107.5760189,Komersial
-6.8753648,107.6043455,Komersial
-6.8782562,107.6035876,Komersial
-6.9124632,107.5779638,Komersial
-6.9115843,107.5781787,Komersial
-6.8803453,107.5965355,Komersial
-6.8469616,107.5955585,Komersial
-6.8938625,107.586604,Komersial
-6.9070735,107.592171,Komersial
-6.9248368,107.6291917,Komersial
-6.9095613,107.597889,Komersial
-6.9162559,107.597422,Komersial
-6.9177399,107.5983598,Komersial
-6.9174378,107.5983135,Komersial
-6.9192613,107.5906253,Komersial
-6.9178303,107.5981862,Komersial
-6.9442563,107.6056477,Komersial
-6.9210534,107.5946675,Komersial
-6.8878993,107.6132494,Komersial
-6.8914487,107.5815607,Komersial
-6.9374251,107.5991726,Komersial
-6.9376625,107.5996701,Komersial
-6.9121609,107.627911,Komersial
-6.9124687,107.6287389,Komersial
-6.8994349,107.6344945,Komersial
-6.8926293,107.6350318,Komersial
-6.8936239,107.638084,Komersial
-6.9197519,107.5944665,Komersial
-6.9067432,107.6045365,Komersial
-6.918955,107.6121305,Komersial
-6.9044208,107.6690594,Komersial
-6.9104891,107.6397943,Komersial
-6.9020599,107.6533314,Komersial
-6.9021313,107.6531613,Komersial
-6.8891824,107.5969495,Komersial
-6.9175221,107.6049259,Komersial
-6.934667,107.6245516,Komersial
-6.9027773,107.5959419,Komersial
-6.9517036,107.5934602,Komersial
-6.8847762,107.5966542,Komersial
-6.9061069,107.6158765,Komersial
-6.9319771,107.6072773,Komersial
-6.8960075,107.6043169,Komersial
-6.885798,107.5789579,Komersial
-6.9325439,107.576102,Komersial
-6.9207683,107.6611034,Komersial
-6.939636,107.6257123,Komersial
-6.906118,107.6157817,Komersial
-6.9177012,107.6032498,Komersial
-6.9181033,107.6039284,Komersial
-6.917813,107.6042395,Komersial
-6.9180074,107.6036467,Komersial
-6.9171128,107.6039525,Komersial
-6.9322836,107.622146,Komersial
-6.933106,107.5962728,Komersial
-6.9586671,107.7056473,Komersial
-6.9205666,107.6210502,Komersial
-6.8892523,107.5793066,Komersial
-6.9136423,107.6024432,Komersial
-6.9169109,107.5981305,Komersial
-6.9256775,107.6197784,Komersial
-6.9187172,107.6097412,Komersial
-6.918953,107.6061072,Komersial
-6.9183592,107.6044334,Komersial
-6.918447,107.6049323,Komersial
-6.9189452,107.6064409,Komersial
-6.9190703,107.6065562,Komersial
-6.9208356,107.598316,Komersial
-6.921046,107.5984876,Komersial
-6.9213219,107.5985624,Komersial
-6.9223917,107.5984768,Komersial
-6.9229455,107.5987047,Komersial
-6.9302856,107.6209798,Komersial
-6.9162691,107.6136219,Komersial
-6.9083053,107.6045861,Komersial
-6.9234371,107.6039748,Komersial
-6.8885876,107.6194372,Komersial
-6.9148384,107.6106694,Komersial
-6.9155844,107.633892,Komersial
-6.8935645,107.6055866,Komersial
-6.8728714,107.5945218,Komersial
-6.8956287,107.5971557,Komersial
-6.9171472,107.6079281,Komersial
-6.9189372,107.5984118,Komersial
-6.8778403,107.5906263,Komersial
-6.8839607,107.595642,Komersial
-6.8969698,107.592197,Komersial
-6.8963183,107.5900493,Komersial
-6.9632216,107.686689,Komersial
-6.9307019,107.6218994,Komersial
-6.963917,107.6875534,Komersial
-6.8825057,107.5730726,Komersial
-6.9003578,107.6150429,Komersial
-6.8781277,107.5771736,Komersial
-6.8774412,107.5764776,Komersial
-6.8778299,107.5776855,Komersial
-6.8794629,107.5767625,Komersial
-6.8785205,107.5764579,Komersial
-6.8782122,107.5763265,Komersial
-6.8824559,107.6011498,Komersial
-6.9102986,107.6084619,Komersial
-6.9102732,107.6086475,Komersial
-6.9101451,107.6086326,Komersial
-6.9101677,107.6084441,Komersial
-6.9418742,107.6673838,Komersial
-6.8924077,107.6102557,Komersial
-6.8934066,107.6038538,Komersial
-6.8891749,107.6077102,Komersial
-6.896551,107.6309086,Komersial
-6.8968026,107.6310226,Komersial
-6.8992041,107.6338676,Komersial
-6.9040682,107.6676082,Komersial
-6.888637,107.5957501,Komersial
-6.8886444,107.5955893,Komersial
-6.8883318,107.5959162,Komersial
-6.8980489,107.635122,Komersial
-6.8981125,107.63546,Komersial
-6.8885726,107.5959214,Komersial
-6.8886693,107.5959239,Komersial
-6.8885618,107.5957464,Komersial
-6.8884912,107.5957448,Komersial
-6.8884095,107.5959163,Komersial
-6.8882303,107.5959119,Komersial
-6.8885612,107.5956622,Komersial
-6.8884889,107.5959189,Komersial
-6.8886402,107.5956647,Komersial
-6.8886478,107.5955096,Komersial
-6.8891487,107.5956846,Komersial
-6.8892254,107.5956872,Komersial
-6.8898562,107.5956914,Komersial
-6.8887158,107.5957521,Komersial
-6.8887289,107.5956637,Komersial
-6.8889122,107.5956681,Komersial
-6.8890709,107.5956785,Komersial
-6.8893656,107.5956327,Komersial
-6.8895294,107.5956829,Komersial
-6.8896193,107.5956837,Komersial
-6.8897052,107.5956877,Komersial
-6.8896081,107.5958072,Komersial
-6.8898582,107.5958235,Komersial
-6.8901235,107.5958585,Komersial
-6.8900386,107.5954101,Komersial
-6.8895711,107.5955437,Komersial
-6.8894576,107.5955461,Komersial
-6.8888097,107.5956676,Komersial
-6.8887789,107.5957562,Komersial
-6.8889561,107.595766,Komersial
-6.8892736,107.5956251,Komersial
-6.8899369,107.5956942,Komersial
-6.8899604,107.5958276,Komersial
-6.8901204,107.5959573,Komersial
-6.8898086,107.5955546,Komersial
-6.8896799,107.5954047,Komersial
-6.8893532,107.5954546,Komersial
-6.8891544,107.5954591,Komersial
-6.8890691,107.5954551,Komersial
-6.8887685,107.5955251,Komersial
-6.8890252,107.595769,Komersial
-6.8897864,107.5956915,Komersial
-6.8899506,107.5955556,Komersial
-6.8891601,107.5955422,Komersial
-6.8890726,107.5955392,Komersial
-6.8888504,107.5954177,Komersial
-6.8889911,107.5956727,Komersial
-6.8894219,107.5958284,Komersial
-6.8894327,107.5956773,Komersial
-6.8893837,107.5959016,Komersial
-6.890274,107.5959631,Komersial
-6.8897658,107.5954041,Komersial
-6.8897273,107.5955572,Komersial
-6.8896041,107.5954038,Komersial
-6.8896431,107.59555,Komersial
-6.8892625,107.5954605,Komersial
-6.8892393,107.5955461,Komersial
-6.8889902,107.5954456,Komersial
-6.8889919,107.5955404,Komersial
-6.8889197,107.5954292,Komersial
-6.8888384,107.595529,Komersial
-6.8887807,107.5954192,Komersial
-6.8887073,107.5954184,Komersial
-6.8886341,107.5954189,Komersial
-6.8885675,107.5954169,Komersial
-6.8902938,107.5956021,Komersial
-6.8889122,107.5955384,Komersial
-6.8895253,107.5954175,Komersial
-6.8894445,107.5954434,Komersial
-6.9202228,107.6213234,Komersial
-6.9194309,107.6226723,Komersial
-6.919369,107.6227849,Komersial
-6.9195341,107.6224864,Komersial
-6.919499,107.6225456,Komersial
-6.919399,107.6227306,Komersial
-6.9194645,107.6226091,Komersial
-6.9615132,107.6246842,Komersial
-6.8902201,107.5966502,Komersial
-6.8932327,107.6056973,Komersial
-6.9093412,107.6201459,Komersial
-6.8994524,107.5968444,Komersial
-6.8942169,107.6041816,Komersial
-6.8938834,107.6042265,Komersial
-6.895036,107.5968093,Komersial
-6.8946148,107.5972964,Komersial
-6.8868956,107.5967543,Komersial
-6.8592628,107.5947389,Komersial
-6.8698221,107.5908012,Komersial
-6.8699917,107.5907259,Komersial
-6.9136508,107.6026476,Komersial
-6.9172489,107.5931239,Komersial
-6.9175134,107.5930928,Komersial
-6.9174309,107.5931115,Komersial
-6.8973456,107.5926019,Komersial
-6.9072221,107.6233401,Komersial
-6.9062849,107.6224733,Komersial
-6.9060692,107.6203062,Komersial
-6.9175795,107.6033812,Komersial
-6.9083788,107.5786883,Komersial
-6.9086424,107.5786601,Komersial
-6.9081733,107.5787812,Komersial
-6.8882677,107.6087169,Komersial
-6.950853,107.6360319,Komersial
-6.9445659,107.630211,Komersial
-6.9453681,107.6304369,Komersial
-6.9448733,107.6300523,Komersial
-6.8823059,107.5732083,Komersial
-6.8817268,107.5746109,Komersial
-6.881268,107.5763524,Komersial
