place_id,name,lat,lon,rating,total_reviews,category,types,nearest_stop,stop_lat,stop_lon
ChIJKRB8oKroaC4RRjFyPxowdqo,Harc Music Studio,-6.929645499999999,107.575517,4.4,126,komersial,"establishment,point_of_interest,store",Simpang Tol Pasirkoja,-6.9299302,107.577006
ChIJg65E0wHmaC4R9UUBzLZCSgc,BEYOND property pasirkoja,-6.9290669,107.5772429,4.5,47,lainnya,"establishment,point_of_interest,real_estate_agency",Simpang Tol Pasirkoja,-6.9299302,107.577006
ChIJM4JhT0vnaC4RCc1SJG0O5Tg,Auto2000 Bandung Suci,-6.901998099999999,107.6481618,4.7,1519,komersial,"car_dealer,car_repair,establishment,point_of_interest,store",Cimuncang,-6.9017562,107.6490456
ChIJxaNSZpTnaC4Rd62aYot6vAo,Pengadilan Tinggi Bandung,-6.9030888,107.6491993,4.6,134,lainnya,"courthouse,establishment,point_of_interest",Cimuncang,-6.9017562,107.6490456
ChIJjQoF9JPnaC4RGoLmLh277aQ,Fakultas Pendidikan Olahraga Dan Kesehatan UPI,-6.9021914,107.6516909,4.6,66,pendidikan,"establishment,point_of_interest,university",Cimuncang,-6.9017562,107.6490456
ChIJy42gCZTnaC4Rq8m34YyinQM,Mr. Bim's Magnetic Parfume,-6.901909799999999,107.6508875,4.8,45,komersial,"clothing_store,establishment,point_of_interest,store",Cimuncang,-6.9017562,107.6490456
ChIJT7OvsL3naC4R17epfpf3C5U,Spbu 34-40103,-6.8993584,107.6419096,3.7,730,lainnya,"establishment,gas_station,point_of_interest",Cikutra,-6.8998699,107.6426541
ChIJobATy73naC4RRu-dPvURe0A,PT TASPEN (PERSERO) KCU BANDUNG,-6.899805,107.64238,4.2,303,lainnya,"establishment,local_government_office,point_of_interest",Cikutra,-6.8998699,107.6426541
ChIJ9-EPQbznaC4RvJZHaPxY5hM,PLN ULP BANDUNG TIMUR,-6.899141999999999,107.6411468,3.0,255,lainnya,"establishment,point_of_interest",Cikutra,-6.8998699,107.6426541
ChIJtY5M_rDnaC4RVM4HHUONG6Q,JETSET KONVEKSI BANDUNG Pusat Sablon Kaos Termurah Terbaik,-6.899284799999999,107.6305301,4.7,231,komersial,"clothing_store,establishment,point_of_interest,store",SMPN 63 Kota Bandung,-6.8999494,107.629359
ChIJOaJPArHnaC4RntQUnEcqbOw,Kampung Wisata Sablon,-6.89971,107.630271,4.5,74,komersial,"establishment,point_of_interest,store",SMPN 63 Kota Bandung,-6.8999494,107.629359
ChIJPSaLsGXmaC4RtPcXs-Ng3S4,Holiday Inn Bandung Pasteur,-6.8960897,107.5906402,4.8,24731,olahraga,"establishment,gym,health,lodging,point_of_interest",Griya Pasteur 1,-6.8951325,107.5884158
ChIJKa5xu2TmaC4R3qD0CR8dO4I,Aston Pasteur,-6.8936196,107.5871679,4.6,16769,katering,"establishment,food,lodging,point_of_interest,restaurant",Griya Pasteur 1,-6.8951325,107.5884158
ChIJq6drgX_maC4RY1N_UqsPSgk,Griya Pasteur,-6.8952256,107.5883499,4.5,5771,komersial,"department_store,establishment,food,grocery_or_supermarket,point_of_interest",Griya Pasteur 1,-6.8951325,107.5884158
ChIJo8dJwGTmaC4RfZ-NBi7gRY4,Hotel Nyland Pasteur Bandung,-6.8949769,107.5872929,4.1,1651,lainnya,"establishment,lodging,point_of_interest",Griya Pasteur 1,-6.8951325,107.5884158
ChIJZwPUVWTmaC4RWYe7SY85m_s,SPBU Pertamina 34.40123,-6.8952024,107.5891299,4.2,1383,lainnya,"establishment,gas_station,point_of_interest",Griya Pasteur 1,-6.8951325,107.5884158
ChIJGfqH-YPmaC4ReAI-o5GeWj8,Revital Clinic Lemah Neundeut,-6.8824482,107.5797182,5.0,324,kesehatan,"establishment,health,point_of_interest",Lemahneundeut,-6.8813132,107.5786866
ChIJE8o-hSnkaC4R_Eq0P3pOzFY,The Piano Shop Bandung,-6.880696899999999,107.5783627,4.9,168,komersial,"establishment,point_of_interest,store",Lemahneundeut,-6.8813132,107.5786866
