edge_id,name,highway,lat,lon
25433989_3245886198,Jalan Raya Cijerah,secondary,-6.919055924252557,107.5702793768631
25433989_3245886198,Jalan Raya Cijerah,secondary,-6.918633727315687,107.57044015136141
25433989_3245886198,Jalan Raya Cijerah,secondary,-6.918211886384696,107.5706021533132
25433989_3245886198,Jalan Raya Cijerah,secondary,-6.917783145790379,107.5707431033947
25433989_3245886198,Jalan Raya Cijerah,secondary,-6.917336918690359,107.57081402297347
25433989_3245886198,Jalan Raya Cijerah,secondary,-6.9168899734627685,107.57088045118577
25433989_3245886198,Jalan Raya Cijerah,secondary,-6.916443754720909,107.57095146037024
25433989_3245886198,Jalan Raya Cijerah,secondary,-6.916003761730571,107.57105164984475
25433989_3245886198,Jalan Raya Cijerah,secondary,-6.915572102261997,107.5711849439196
25433989_3245886198,Jalan Raya Cijerah,secondary,-6.915140658750732,107.57131904248821
25433989_3245886198,Jalan Raya Cijerah,secondary,-6.914716400599649,107.57147361619589
25434098_11138593395,Jalan Aruna,tertiary,-6.911234200000005,107.5894511
25434098_11138593395,Jalan Aruna,tertiary,-6.910810916121711,107.58929290590262
25434098_11138593395,Jalan Aruna,tertiary,-6.91038877337854,107.5891317458302
25434098_11138593395,Jalan Aruna,tertiary,-6.909968760652895,107.58896504954244
25434098_11138593395,Jalan Aruna,tertiary,-6.909548747752561,107.58879835366605
25434098_11138593395,Jalan Aruna,tertiary,-6.909128734677559,107.58863165820101
25434098_11138593395,Jalan Aruna,tertiary,-6.908709580305719,107.58846283111339
25434098_11138593395,Jalan Aruna,tertiary,-6.908290559244255,107.5882936831347
25434098_11138593395,Jalan Aruna,tertiary,-6.907868921034695,107.58813115571037
25434098_11138593395,Jalan Aruna,tertiary,-6.907448319782545,107.58796598284957
25434098_11138593395,Jalan Aruna,tertiary,-6.90703071873138,107.58779332579438
25434098_6622409115,Jalan Arjuna,secondary,-6.911234200000005,107.5894511
25434241_4376716070,Jalan Dulatip,tertiary,-6.916170199999995,107.6022008
25434241_4376716070,Jalan Dulatip,tertiary,-6.916619181332041,107.60225155496926
25434241_4376716070,Jalan Dulatip,tertiary,-6.9170696815449695,107.60226446021012
25434241_4376716070,Jalan Dulatip,tertiary,-6.91752137306997,107.60225458251168
25434241_4376716070,Jalan Dulatip,tertiary,-6.917973201910599,107.60225186203748
25434241_4376716070,Jalan Dulatip,tertiary,-6.9184250276770785,107.60224866237378
25434241_4376716070,Jalan Dulatip,tertiary,-6.918876862670561,107.60224749951263
25434241_4376716070,Jalan Dulatip,tertiary,-6.919328527964032,107.60224250007508
25434241_4376716070,Jalan Dulatip,tertiary,-6.919778867856036,107.60220572259061
25434241_4376716070,Jalan Dulatip,tertiary,-6.920228965859955,107.6021661028168
25434241_25434242,Jalan Suniaraja,primary,-6.916170199999995,107.6022008
25434241_25434242,Jalan Suniaraja,primary,-6.916123925682101,107.60265047539833
25434241_25434242,Jalan Suniaraja,primary,-6.916084046055425,107.60310084284654
25434241_25434242,Jalan Suniaraja,primary,-6.916013786831161,107.60354737401532
25434241_25434242,Jalan Suniaraja,primary,-6.915936264176195,107.60399281466661
25434241_25434242,Jalan Suniaraja,primary,-6.91585274157681,107.60443706708877
25434242_29354701,Jalan Otto Iskandardinata,primary,-6.915836399999993,107.6045054
25434242_29354701,Jalan Otto Iskandardinata,primary,-6.916286431128465,107.60446504067225
25434242_29354701,Jalan Otto Iskandardinata,primary,-6.91673636750746,107.60442368121494
25434242_29354701,Jalan Otto Iskandardinata,primary,-6.917185392266617,107.6043736822855
25434242_29354701,Jalan Otto Iskandardinata,primary,-6.917635383524976,107.60433286886251
25434242_29354701,Jalan Otto Iskandardinata,primary,-6.918085677618646,107.60429558249635
25434242_1956195926,"['Jalan Otto Iskandardinata', 'Jalan Stasiun Timur']",primary,-6.915836399999993,107.6045054
25434242_1956195926,"['Jalan Otto Iskandardinata', 'Jalan Stasiun Timur']",primary,-6.915386188223369,107.6045436614319
25434242_1956195926,"['Jalan Otto Iskandardinata', 'Jalan Stasiun Timur']",primary,-6.914935944183977,107.60458157771806
25434242_1956195926,"['Jalan Otto Iskandardinata', 'Jalan Stasiun Timur']",primary,-6.914755355051894,107.60488054049027
25434242_1956195926,"['Jalan Otto Iskandardinata', 'Jalan Stasiun Timur']",primary,-6.91480964043986,107.60532940904211
25434242_1956195926,"['Jalan Otto Iskandardinata', 'Jalan Stasiun Timur']",primary,-6.914863925638192,107.60577827750723
25434242_1956195926,"['Jalan Otto Iskandardinata', 'Jalan Stasiun Timur']",primary,-6.914918210374032,107.60622714591855
25434270_2628264112,Jalan Kebon Kawung,primary,-6.912661099999998,107.603885
25434270_2628264112,Jalan Kebon Kawung,primary,-6.9126316505261665,107.60343392530658
25434270_2628264112,Jalan Kebon Kawung,primary,-6.912598643049131,107.60298299113028
25434270_2628264112,Jalan Kebon Kawung,primary,-6.912568756178202,107.60253183975267
25434270_2628264112,Jalan Kebon Kawung,primary,-6.912544321396623,107.60208040494933
25434270_2628264112,Jalan Kebon Kawung,primary,-6.912517696249278,107.60162904874457
25434270_2628264112,Jalan Kebon Kawung,primary,-6.912497051951772,107.60117738389127
25434270_2628264112,Jalan Kebon Kawung,primary,-6.9124772473606875,107.60072567550408
25434270_2628264112,Jalan Kebon Kawung,primary,-6.912452626820944,107.60027423840813
25434270_2628264112,Jalan Kebon Kawung,primary,-6.912426650055678,107.59982284889517
25434270_2628264112,Jalan Kebon Kawung,primary,-6.912398242196131,107.59937160091336
25434270_2628264112,Jalan Kebon Kawung,primary,-6.912371512067653,107.59892041944887
25434270_2628264112,Jalan Kebon Kawung,primary,-6.912369134020259,107.59846828206376
25434517_5356356848,Jalan Sultan Agung,tertiary_link,-6.904038500000001,107.6131403
25434517_6438800742,Jalan Trunojoyo,tertiary,-6.904038500000001,107.6131403
