tas_nit_id,n_points,avg_distance_to_stop,min_distance_to_stop,max_distance_to_stop,nearest_stop_name,street_name,highway_type,center_lat,center_lon,walking_class
5408954335_2520649152_STOP562,2,25.65,13.5,37.8,TK Taruna Bakti,Jalan L.L. RE. Martadinata,secondary,-6.9059146855217595,107.61964834643396,Sangat Dekat (<200m)
5408954335_2520649152_STOP567,3,35.96666666666667,7.5,55.2,De Pavilijoen,Jalan L.L. RE. Martadinata,secondary,-6.905909170223361,107.62076954014621,Sangat Dekat (<200m)
5408954335_6639564151_STOP567,1,55.2,55.2,55.2,De Pavilijoen,Jalan L.L. RE. Martadinata,secondary,-6.905987600000004,107.621213,Sangat Dekat (<200m)
5444615172_1708607132_STOP618,7,200.57142857142858,71.2,344.7,Pusdiklat Geologi Cisitu,Jalan Cisitu Indah,tertiary,-6.877989519643213,107.61266058733815,Dekat (200-400m)
5444644720_1107494497_STOP460,1,235.7,235.7,235.7,Simpang Buah Batu Soekarno Hatta 1,Jalan Batu Api,tertiary,-6.945353799999997,107.6350763,Dekat (200-400m)
5444644720_5269229741_STOP368,3,123.03333333333335,92.6,154.6,SPBU Simpang Buah Batu Soekarno Hatta,Jalan Batu Api,tertiary,-6.946555006468691,107.63566712694698,Sangat Dekat (<200m)
5444644720_5269229741_STOP460,2,214.6,193.5,235.7,Simpang Buah Batu Soekarno Hatta 1,Jalan Batu Api,tertiary,-6.94556006075185,107.63516844649958,Dekat (200-400m)
5444644746_3115137890_STOP334,1,771.5,771.5,771.5,Bangunan Mart A,Bunderan Elok,tertiary,-6.956308200000006,107.6269096,Sedang (400-800m)
5444644746_5444644749_STOP334,6,645.8000000000001,520.1,771.5,Bangunan Mart A,Jalan Batununggal Indah I,tertiary,-6.955204024259305,107.62714794660455,Sedang (400-800m)
5444644749_5847788403_STOP334,1,507.9,507.9,507.9,Bangunan Mart A,Bunderan Raya-1,tertiary,-6.953992499999994,107.6274094,Sedang (400-800m)
5444644826_5825176142_STOP595,1,53.5,53.5,53.5,Timur Simpang Batununggal,Jalan Soekarno-Hatta,trunk,-6.949558399999996,107.6264304,Sangat Dekat (<200m)
5444644826_5825182245_STOP595,2,76.35,53.5,99.2,Timur Simpang Batununggal,,trunk_link,-6.949710123292658,107.62628131287074,Sangat Dekat (<200m)
5447158246_12633822764_STOP118,2,25.85,8.7,43.0,Simpang Kordon Buah Batu,Jalan Marga Cinta,primary,-6.954338307765637,107.63954782784845,Sangat Dekat (<200m)
5447158246_12633822764_STOP719,1,34.4,34.4,34.4,Terminal Angkot Buah Batu-GBA,Jalan Marga Cinta,primary,-6.954103492057931,107.64018394525785,Sangat Dekat (<200m)
5447158246_6609265322_STOP118,1,8.7,8.7,8.7,Simpang Kordon Buah Batu,Jalan Marga Cinta,primary,-6.954412400000005,107.6393343,Sangat Dekat (<200m)
5447158308_5447158315_STOP20,5,192.0,119.8,275.5,Simpang Soetta Kiaracondong,Jalan Terusan Kiara Condong,primary,-6.947444375103954,107.64162635218267,Sangat Dekat (<200m)
5447158308_5447158315_STOP716,9,116.39999999999999,12.6,241.0,SD Negeri 184 Buah Batu,Jalan Terusan Kiara Condong,primary,-6.950566102566166,107.64113260367668,Sangat Dekat (<200m)
5447158308_5447158315_STOP717,4,61.7,22.6,122.1,Tugu Pasar Kordon,Jalan Terusan Kiara Condong,primary,-6.9534050504973655,107.64040905314047,Sangat Dekat (<200m)
5447158308_5458215975_STOP717,1,30.1,30.1,30.1,Tugu Pasar Kordon,,primary,-6.954057400000006,107.6402252,Sangat Dekat (<200m)
5447158309_12633822764_STOP719,1,30.5,30.5,30.5,Terminal Angkot Buah Batu-GBA,,primary,-6.954128,107.6402459,Sangat Dekat (<200m)
5447158315_5447158308_STOP20,5,163.26,107.5,237.4,Simpang Soetta Kiaracondong,Jalan Terusan Kiara Condong,primary,-6.947072030053211,107.64167750527034,Sangat Dekat (<200m)
