tas_nit_id,sentiment_score,avg_rating,n_reviews_total,n_places,positive_ratio,negative_ratio,categories,street_name
11347520098_29434769_STOP732,0.94,5.0,5,1,1.0,0.0,lainnya,Jalan Lodaya
11347520099_29434768_STOP413,0.94,5.0,5,1,1.0,0.0,lainnya,Jalan Sancang
11366943122_4169236625_STOP337,0.7564,4.4,5,1,0.8,0.0,lainnya,Jalan Bungur
11367517448_3277874415_STOP727,0.3775,2.3,10,2,0.3,0.7,"lainnya,katering",Jalan Laswi
11369316679_10125360884_STOP108,0.24,1.8,5,1,0.2,0.8,katering,Jalan Soekarno-Hatta
11380591251_1017853007_STOP30,0.69,3.8,5,1,0.6,0.2,komersial,Jalan Dewi Sartika
11380591251_1837401646_STOP308,0.875,4.8,10,2,0.9,0.0,komersial,Jalan Pungkur
11382060932_7983673000_STOP327,0.6592,3.9,10,2,0.7,0.3,"kesehatan,komersial",Jalan Sederhana
11458642953_11711275764_STOP280,0.94,5.0,5,1,1.0,0.0,kesehatan,Jalan Jendral Sudirman
11520711530_6485661075_STOP63,0.955,4.8,5,1,1.0,0.0,katering,Jalan Wastukancana
11520711531_11520711530_STOP63,0.7667,4.2,5,1,0.8,0.2,komersial,
11546102144_11546102152_STOP767,0.47,3.0,5,1,0.4,0.6,finansial,Jalan Ciroyom
11564259401_12809507137_STOP47,0.73,3.8,5,1,0.8,0.2,komersial,Jalan Lombok
11594016904_2325451295_STOP16,0.13,1.0,5,1,0.0,1.0,lainnya,Jalan Jenderal Ahmad Yani
11594016904_2325451295_STOP213,0.755,4.0,5,1,0.8,0.2,komersial,Jalan Jenderal Ahmad Yani
11711275764_11711275765_STOP280,0.76,4.2,5,1,0.8,0.2,komersial,Bunderan Cibeureum
11727886518_1849525862_STOP155,0.94,5.0,5,1,1.0,0.0,lainnya,Jalan Banda
11727886518_2520649143_STOP805,0.76,4.2,5,1,0.8,0.2,pendidikan,Jalan Banda
11735248696_2493372404_STOP207,0.9,5.0,5,1,1.0,0.0,katering,Jalan Sulaksana
11735248696_2493372404_STOP87,0.69,3.8,5,1,0.8,0.2,lainnya,Jalan Sulaksana
11735248696_302246829_STOP504,0.98,5.0,5,1,1.0,0.0,katering,Jalan Terusan Jakarta
11739021643_29489136_STOP269,0.76,4.2,5,1,0.8,0.2,komersial,Jalan Ibu Inggit Ganarsih
11739021643_4434330589_STOP269,0.7158,3.9,10,2,0.7,0.3,komersial,Jalan Otto Iskandardinata
11739021643_4434330589_STOP589,0.525,3.2,5,1,0.4,0.2,katering,Jalan Otto Iskandardinata
11740333992_11310046583_STOP766,0.76,4.2,5,1,0.8,0.2,lainnya,Jalan Layang Ciroyom
12028030824_2325452148_STOP199,0.895,4.8,5,1,1.0,0.0,lainnya,Jalan Gardujati
12028030824_2325452148_STOP290,0.6,3.4,5,1,0.6,0.4,lainnya,Jalan Gardujati
12393475052_11711275765_STOP106,0.81,4.2,5,1,0.8,0.2,komersial,Bunderan Cibeureum
12606352972_12606352973_STOP620,0.8116,4.4,10,2,0.9,0.1,lainnya,"['Jalan Sunda', 'Jalan Karapitan']"
12606431202_25434241_STOP290,0.9667,5.0,5,1,1.0,0.0,lainnya,Jalan Kebon Jati
12606431202_25434241_STOP601,0.8487,4.6,20,4,0.85,0.05,"lainnya,kesehatan,komersial",Jalan Kebon Jati
12634504454_29356940_STOP67,0.7733,4.2,5,1,0.8,0.2,katering,Jalan Sindang Sirna
12692226647_12813271264_STOP117,0.94,5.0,10,2,1.0,0.0,"kesehatan,komersial",Jalan Marga Cinta
12692226647_9379377310_STOP117,0.715,4.0,5,1,0.8,0.2,komersial,Jalan Pluto Raya
12692455340_30236623_STOP91,0.7551,4.15,20,4,0.8,0.15,lainnya,"['Jalan Cikutra Barat', 'Jalan Sadang Serang', 'Jalan Tubagus Ismail']"
12806120205_12028030824_STOP199,0.8,4.2,5,1,0.8,0.2,komersial,Jalan Gardujati
12806120213_12806120214_STOP794,0.92,5.0,5,1,1.0,0.0,katering,Jalan Cikawao
12806120214_1831360476_STOP28,0.8338,4.55,20,4,0.85,0.05,"lainnya,pendidikan",Jalan Lengkong Besar
12806120214_1831360476_STOP29,0.4317,2.8,5,1,0.4,0.6,lainnya,Jalan Lengkong Besar
12806120214_1831360476_STOP794,0.6716,4.0,10,2,0.7,0.2,"katering,lainnya",Jalan Lengkong Besar
12806309251_2477126866_STOP93,0.7663,4.13,15,3,0.8,0.2,"lainnya,komersial",Jalan Abdul Haris Nasution
12806309251_4620173045_STOP380,0.4,2.6,5,1,0.4,0.6,lainnya,Jalan Abdul Haris Nasution
12806309251_4620173045_STOP93,0.7617,4.0,5,1,0.8,0.2,lainnya,Jalan Abdul Haris Nasution
12806309258_11310497696_STOP640,0.955,4.8,5,1,1.0,0.0,kesehatan,Jalan Abdul Haris Nasution
12806309258_35135537_STOP419,0.91,4.6,5,1,1.0,0.0,katering,Jalan Abdul Haris Nasution
12806309258_35135537_STOP420,0.818,4.44,25,5,0.84,0.12,"lainnya,komersial",Jalan Abdul Haris Nasution
12806309258_35135537_STOP640,0.8925,4.7,10,2,1.0,0.0,komersial,Jalan Abdul Haris Nasution
12806309258_35135537_STOP94,0.75,4.33,3,1,0.6667,0.0,katering,Jalan Abdul Haris Nasution
12806537959_2325453232_STOP184,0.915,4.8,5,1,1.0,0.0,pendidikan,Jalan Kyai Haji Ahmad Dahlan
12806537959_2325453232_STOP428,0.92,5.0,5,1,1.0,0.0,komersial,Jalan Kyai Haji Ahmad Dahlan
12806717331_25446457_STOP112,0.96,5.0,5,1,1.0,0.0,katering,Jalan Rajawali Timur
12809082542_29379447_STOP327,0.745,4.0,10,2,0.8,0.2,katering,Jalan Sukajadi
12809082543_29357859_STOP126,0.94,5.0,10,2,1.0,0.0,"lainnya,komersial",Jalan Sukajadi
12809082543_29357859_STOP476,0.8483,4.53,15,3,0.8667,0.0667,"lainnya,katering",Jalan Sukajadi
12809283839_1870759840_STOP124,0.94,5.0,10,2,1.0,0.0,lainnya,"['Jalan Dakota', 'Jalan Sukaraja II', 'Jalan Sukaraja', 'Jalan Gunung Batu']"
12809283839_1870759840_STOP486,0.7233,3.8,15,3,0.7333,0.2667,"komersial,lainnya","['Jalan Dakota', 'Jalan Sukaraja II', 'Jalan Sukaraja', 'Jalan Gunung Batu']"
12809283839_1870759840_STOP487,0.96,5.0,5,1,1.0,0.0,kesehatan,"['Jalan Dakota', 'Jalan Sukaraja II', 'Jalan Sukaraja', 'Jalan Gunung Batu']"
12809283839_1870759840_STOP488,0.72,4.2,5,1,0.8,0.2,finansial,"['Jalan Dakota', 'Jalan Sukaraja II', 'Jalan Sukaraja', 'Jalan Gunung Batu']"
